"key","ID","dataset","TL_mm","width_mm","weight_g","gonads_g","pred.eggs","age","class"
90,"24652","batch",262.8793032101821,47.023912485458084,956,NA,2747,NA,6
91,"24653","batch",275.81743217492476,49.790994643690375,956,NA,3391,NA,6
92,"24654","batch",285.06553525454365,51.76888967772829,956,NA,3918,NA,6
93,"24655","batch",282.95466700568795,51.3174375484672,956,NA,3793,NA,6
94,"25631","batch",271.18749103555456,48.800787515957374,980,NA,3149,NA,6
95,"25632","batch",289.07186341960914,52.62572448095107,980,NA,4165,NA,6
96,"25633","batch",289.83241136488505,52.78838313550523,980,NA,4213,NA,6
97,"26751","batch",307.33041409775615,56.5306870883234,1278,NA,5447,NA,7
98,"26752","batch",318.62970803678036,58.947271027508,1278,NA,6380,NA,7
99,"26753","batch",318.2690109834075,58.87012862278821,1278,NA,6348,NA,7
100,"26754","batch",304.0319111570716,55.8252351129321,1278,NA,5195,NA,7
101,"26755","batch",321.6729442011565,59.59812900833969,1278,NA,6651,NA,7
102,"27751","batch",320.6240117326379,59.3737934551281,1272,NA,6557,NA,7
103,"27752","batch",303.2423788998276,55.65637757345926,1272,NA,5137,NA,7
104,"27753","batch",305.8803545664996,56.22056235017548,1272,NA,5335,NA,7
105,"27754","batch",319.0254106335342,59.03190008001068,1272,NA,6415,NA,7
106,"27755","batch",315.6778320129961,58.31595227183738,1272,NA,6125,NA,7
107,"28621","batch",291.7023831922561,53.1883146630094,1005,NA,4334,NA,6
108,"28622","batch",288.5352801163681,52.51096522257223,1005,NA,4131,NA,6
109,"29641","batch",281.6372551016975,51.03568220466836,980,NA,3716,NA,6
110,"29642","batch",270.96242579608224,48.7526527346239,980,NA,3137,NA,6
111,"29643","batch",262.15978297498077,46.87002844157984,980,NA,2714,NA,6
112,"29644","batch",277.11091333488,50.06763191090848,980,NA,3461,NA,6
113,"30721","batch",301.7794838473201,55.343507697900684,1235,NA,5029,NA,7
114,"30722","batch",316.9022558629513,58.57782022805872,1235,NA,6230,NA,7
115,"31751","batch",307.29316669143736,56.52272097253138,1294,NA,5444,NA,7
116,"31752","batch",304.53131983429193,55.93204382106668,1294,NA,5233,NA,7
117,"31753","batch",305.5363277103752,56.14698520636059,1294,NA,5309,NA,7
118,"31754","batch",323.5482036937028,59.999191410640755,1294,NA,6823,NA,7
119,"31755","batch",312.7429937943816,57.688277397506134,1294,NA,5880,NA,7
120,"32751","batch",320.9672662243247,59.44720541309112,1206,NA,6588,NA,7
121,"32752","batch",310.3677182048559,57.18027637799458,1206,NA,5687,NA,7
122,"32753","batch",308.7965354565531,56.84424697513436,1206,NA,5562,NA,7
123,"32754","batch",303.5813866723329,55.72888128410843,1206,NA,5162,NA,7
124,"32755","batch",302.34574156068265,55.46461343273119,1206,NA,5070,NA,7
125,"33631","batch",253.65170405432582,45.05040263275294,983.3333333333334,NA,2349,NA,6
126,"33632","batch",256.3743149912916,45.632688384272036,983.3333333333334,NA,2461,NA,6
127,"33633","batch",295.69484814209864,54.04218453555297,983.3333333333334,NA,4600,NA,6
128,"34751","batch",316.3095655441284,58.45106134267112,1208,NA,6179,NA,7
129,"34752","batch",302.062900301069,55.4041220738012,1208,NA,5050,NA,7
130,"34753","batch",302.3852696213871,55.47306731287282,1208,NA,5073,NA,7
131,"34754","batch",323.67113466374576,60.02548270011754,1208,NA,6834,NA,7
132,"34755","batch",304.887658437714,56.008254082574005,1208,NA,5260,NA,7
133,"35791","batch",317.367914583534,58.67741082118551,1378.888888888889,NA,6270,NA,7
134,"35792","batch",309.61101458221674,57.01843991006475,1378.888888888889,NA,5626,NA,7
135,"35793","batch",308.173670951277,56.71103472595657,1378.888888888889,NA,5513,NA,7
136,"35794","batch",320.4446977339685,59.33544350763636,1378.888888888889,NA,6541,NA,7
137,"35795","batch",320.69026256911457,59.38796254465273,1378.888888888889,NA,6563,NA,7
138,"35796","batch",306.9627911616117,56.4520634426375,1378.888888888889,NA,5418,NA,7
139,"35797","batch",314.0298297982663,57.96349346287568,1378.888888888889,NA,5986,NA,7
140,"35798","batch",313.9513327162713,57.94670526454704,1378.888888888889,NA,5980,NA,7
141,"35799","batch",312.85853466950357,57.712988164802375,1378.888888888889,NA,5889,NA,7
142,"36771","batch",306.9217486027628,56.44328565624904,1225.7142857142858,NA,5415,NA,7
143,"36772","batch",301.8219210039824,55.35258374741036,1225.7142857142858,NA,5032,NA,7
144,"36773","batch",304.98669119365513,56.02943425265827,1225.7142857142858,NA,5267,NA,7
145,"36774","batch",309.8249173760414,57.06418737525089,1225.7142857142858,NA,5643,NA,7
146,"36775","batch",305.67598913796246,56.176854644632776,1225.7142857142858,NA,5320,NA,7
147,"36776","batch",321.32948524691164,59.52467332189803,1225.7142857142858,NA,6620,NA,7
148,"36777","batch",314.56589671224356,58.07814228090242,1225.7142857142858,NA,6031,NA,7
149,"37741","batch",307.83909526094794,56.63947890626961,1175,NA,5486,NA,7
150,"37742","batch",308.3187319673598,56.74205897610522,1175,NA,5524,NA,7
151,"37743","batch",313.14578167535365,57.774421782217964,1175,NA,5913,NA,7
152,"37744","batch",312.60173944197595,57.65806727984697,1175,NA,5868,NA,7
153,"38631","batch",299.30221214331686,54.81369273378022,1083.3333333333333,NA,4851,NA,6
154,"38632","batch",273.65982648031786,49.32954676059101,1083.3333333333333,NA,3276,NA,6
155,"38633","batch",285.18136867973953,51.79366301281097,1083.3333333333333,NA,3925,NA,6
156,"39731","batch",320.1853944454342,59.27998622279792,1190,NA,6518,NA,7
157,"39732","batch",321.5151198543608,59.56437506019595,1190,NA,6637,NA,7
158,"39733","batch",318.7450599949807,58.971941391076264,1190,NA,6390,NA,7
159,"40811","batch",342.793664207682,64.11522476912067,1390,NA,8787,NA,8
160,"41621","batch",278.75456324289553,50.41915989051386,1055,NA,3552,NA,6
161,"41622","batch",281.558503493201,51.018839570667986,1055,NA,3711,NA,6
162,"42741","batch",303.62818131782115,55.73888927127445,1607.5,NA,5165,NA,7
163,"42742","batch",315.44552773423493,58.26626927464415,1607.5,NA,6105,NA,7
164,"42743","batch",315.6071438807994,58.30083417632813,1607.5,NA,6119,NA,7
165,"42744","batch",311.0896966420114,57.33468615838289,1607.5,NA,5745,NA,7
166,"43811","batch",333.43366106413305,62.1133976293471,1630,NA,7784,NA,8
167,"44621","batch",280.1175616485998,50.710664835347934,1285,NA,3629,NA,6
168,"44622","batch",262.30429090512916,46.900934403046634,1285,NA,2721,NA,6
169,"45731","batch",308.6765364315361,56.81858274176377,1353.3333333333333,NA,5552,NA,7
170,"45732","batch",312.95718151703477,57.73408580052028,1353.3333333333333,NA,5897,NA,7
171,"45733","batch",307.0719272065908,56.47540440667523,1353.3333333333333,NA,5427,NA,7
172,"46631","batch",287.3013877682388,52.24707223534107,1206.6666666666667,NA,4055,NA,6
173,"46632","batch",279.69426122982986,50.6201334270166,1206.6666666666667,NA,3605,NA,6
174,"46633","batch",259.15375175792724,46.22712749581982,1206.6666666666667,NA,2581,NA,6
175,"47711","batch",318.6124797668308,58.9435864113997,1200,NA,6379,NA,7
176,"48811","batch",336.68649145029485,62.80908159955887,1670,NA,8122,NA,8
177,"49621","batch",277.1108685785439,50.06762233885525,1260,NA,3461,NA,6
178,"49622","batch",269.54916654969566,48.450398486247664,1260,NA,3066,NA,6
179,"50741","batch",307.80147498846054,56.63143304545995,1545,NA,5483,NA,7
180,"50742","batch",318.00862546265125,58.81443988056666,1545,NA,6326,NA,7
181,"50743","batch",322.86122530698776,59.85226710325825,1545,NA,6760,NA,7
182,"50744","batch",303.8973498940468,55.79645644863529,1545,NA,5185,NA,7
183,"51721","batch",314.87801368534565,58.14489484689599,975,NA,6058,NA,7
184,"51722","batch",314.05104359053075,57.96803046403276,975,NA,5988,NA,7
185,"52731","batch",305.70110346004367,56.182225853463386,1216.6666666666667,NA,5321,NA,7
186,"52732","batch",315.84335145540535,58.351351972766274,1216.6666666666667,NA,6139,NA,7
187,"52733","batch",315.22952815145254,58.22007336847167,1216.6666666666667,NA,6087,NA,7
188,"53721","batch",324.20570289343596,60.13981099401263,1100,NA,6884,NA,7
189,"53722","batch",312.62031852826476,57.66204079551729,1100,NA,5870,NA,7
190,"54661","batch",282.1115962371696,51.13712970889847,998.3333333333334,NA,3743,NA,6
191,"54662","batch",276.4253169307485,49.92100316862355,998.3333333333334,NA,3424,NA,6
192,"54663","batch",256.408361351816,45.639969891282554,998.3333333333334,NA,2463,NA,6
193,"54664","batch",281.0754867247306,50.91553660577996,998.3333333333334,NA,3683,NA,6
194,"54665","batch",277.970629011048,50.25149960268677,998.3333333333334,NA,3508,NA,6
195,"54666","batch",282.60778483073227,51.2432497366171,998.3333333333334,NA,3772,NA,6
196,"55751","batch",310.74172973819077,57.26026635519177,1242,NA,5717,NA,7
197,"55752","batch",323.83231435343623,60.05995425661751,1242,NA,6849,NA,7
198,"55753","batch",310.8763647451997,57.289060791140194,1242,NA,5728,NA,7
199,"55754","batch",303.2560753431171,55.65930683656685,1242,NA,5138,NA,7
200,"55755","batch",307.82221610844135,56.63586895603071,1242,NA,5485,NA,7
201,"56751","batch",311.1041170693934,57.33777026022107,1230,NA,5746,NA,7
202,"56752","batch",314.9792944677174,58.16655580317772,1230,NA,6066,NA,7
203,"56753","batch",306.3314860071987,56.31704598888228,1230,NA,5370,NA,7
204,"56754","batch",313.0705810058862,57.75833858878732,1230,NA,5907,NA,7
205,"56755","batch",303.5281628277153,55.717498281880275,1230,NA,5158,NA,7
206,"57761","batch",312.818266056478,57.70437590247733,1011.6666666666666,NA,5886,NA,7
207,"57762","batch",321.8394995573908,59.63375026051997,1011.6666666666666,NA,6666,NA,7
208,"57763","batch",318.77412166818976,58.97815682127057,1011.6666666666666,NA,6393,NA,7
209,"57764","batch",310.813760522753,57.27567160423116,1011.6666666666666,NA,5722,NA,7
210,"57765","batch",311.7546616252512,57.476902451479525,1011.6666666666666,NA,5799,NA,7
211,"57766","batch",305.6630748491734,56.17409266118124,1011.6666666666666,NA,5319,NA,7
212,"58731","batch",312.6351753734052,57.66521823417383,1113.3333333333333,NA,5871,NA,7
213,"58732","batch",305.9403452388942,56.233392576222535,1113.3333333333333,NA,5340,NA,7
214,"58733","batch",313.9138440005481,57.93868753982847,1113.3333333333333,NA,5977,NA,7
215,"59831","batch",337.9502769522369,63.079367846031296,1473.3333333333333,NA,8256,NA,8
216,"59832","batch",346.57921050675213,64.92484087759077,1473.3333333333333,NA,9220,NA,8
217,"59833","batch",336.00769946724176,62.66390812118532,1473.3333333333333,NA,8050,NA,8
218,"60571","batch",249.04674200690351,44.065537792134734,615.7142857142857,NA,2168,NA,5
219,"60572","batch",216.44317884976044,37.09260235821089,615.7142857142857,NA,1172,NA,5
220,"60573","batch",249.51882550865412,44.166502455452715,615.7142857142857,NA,2186,NA,5
221,"60574","batch",246.75320005905814,43.575017175101564,615.7142857142857,NA,2082,NA,5
222,"60575","batch",226.27294997964054,39.19489894121138,615.7142857142857,NA,1424,NA,5
223,"60576","batch",248.6663957601413,43.98419300756547,615.7142857142857,NA,2153,NA,5
224,"60577","batch",207.91347910487093,35.26835249615738,615.7142857142857,NA,982,NA,5
225,"61671","batch",270.22877628332935,48.59574685722336,841.4285714285714,NA,3100,NA,6
226,"61672","batch",276.41701986128464,49.9192286714809,841.4285714285714,NA,3423,NA,6
227,"61673","batch",268.8835302849766,48.30803862594671,841.4285714285714,NA,3033,NA,6
228,"61674","batch",294.30595342139713,53.74514113679036,841.4285714285714,NA,4506,NA,6
229,"61675","batch",283.6011021747254,51.45569086373186,841.4285714285714,NA,3831,NA,6
230,"61676","batch",280.52791272336617,50.798426762956765,841.4285714285714,NA,3652,NA,6
231,"61677","batch",270.8428557701409,48.72708025143539,841.4285714285714,NA,3131,NA,6
232,"62751","batch",315.9343444183469,58.37081266951511,1270,NA,6147,NA,7
233,"62752","batch",307.9682195801288,56.667094769488536,1270,NA,5497,NA,7
234,"62753","batch",306.3765217382461,56.3266777964028,1270,NA,5373,NA,7
235,"62754","batch",319.5864254552871,59.15188451578239,1270,NA,6464,NA,7
236,"62755","batch",313.2984444294125,57.80707181872122,1270,NA,5926,NA,7
237,"63721","batch",318.6971139330417,58.96168715007199,1275,NA,6386,NA,7
238,"63722","batch",311.7768002487719,57.48163724662023,1275,NA,5801,NA,7
239,"64521","batch",220.3278230021242,37.92341255915875,585,NA,1267,NA,5
240,"64522","batch",205.0956065596547,34.66569311122709,585,NA,925,NA,5
241,"65621","batch",282.69033814943396,51.260905443706186,925,NA,3777,NA,6
242,"65622","batch",277.26771128876135,50.10116634404133,925,NA,3470,NA,6
243,"66821","batch",335.46491190977395,62.54782195678917,1510,NA,7994,NA,8
244,"66822","batch",335.28248860500753,62.508807020917025,1510,NA,7975,NA,8
245,"67751","batch",319.1962437555194,59.06843621944541,1134,NA,6430,NA,7
246,"67752","batch",303.73188003897667,55.761067352967935,1134,NA,5173,NA,7
247,"67753","batch",316.83853392489254,58.56419199492155,1134,NA,6224,NA,7
248,"67754","batch",302.2016188483685,55.43378985793709,1134,NA,5060,NA,7
249,"67755","batch",314.8751086015254,58.14427353560523,1134,NA,6057,NA,7
250,"68751","batch",322.0033330358565,59.668789383751694,1300,NA,6681,NA,7
251,"68752","batch",314.49539102613926,58.06306320520262,1300,NA,6025,NA,7
252,"68753","batch",310.29163437336683,57.16400430239408,1300,NA,5680,NA,7
253,"68754","batch",320.5623469315469,59.36060518259236,1300,NA,6551,NA,7
254,"68755","batch",324.79283378086984,60.26538088186833,1300,NA,6938,NA,7
255,"69751","batch",317.2997370045632,58.66282965857108,1144,NA,6264,NA,7
256,"69752","batch",318.57460455037653,58.93548602563485,1144,NA,6375,NA,7
257,"69753","batch",316.79832344315946,58.555592165156305,1144,NA,6221,NA,7
258,"69754","batch",319.6791243199259,59.17171005432274,1144,NA,6473,NA,7
259,"69755","batch",309.8369485139847,57.06676047892274,1144,NA,5644,NA,7
260,"70541","batch",240.3077168322634,42.1965194273475,775,NA,1854,NA,5
261,"70542","batch",246.36199231771752,43.4913494388952,775,NA,2067,NA,5
262,"70543","batch",237.22772927791812,41.53780141391365,775,NA,1752,NA,5
263,"70544","batch",235.43094035773538,41.1535215403171,775,NA,1694,NA,5
264,"71831","batch",334.56336720101535,62.355008275208725,1430,NA,7900,NA,8
265,"71832","batch",336.6474636159837,62.80073470301061,1430,NA,8118,NA,8
266,"71833","batch",343.9308577030897,64.35843673896387,1430,NA,8915,NA,8
267,"72521","batch",242.1825712872669,42.597495204127895,660,NA,1918,NA,5
268,"72522","batch",210.43484201841056,35.80759726265309,660,NA,1036,NA,5
269,"73611","batch",277.16210679127835,50.0785806732994,870,NA,3464,NA,6
270,"74761","batch",311.0210153441876,57.319997265241504,1055,NA,5739,NA,7
271,"74762","batch",319.0994714703411,59.0477394970323,1055,NA,6421,NA,7
272,"74763","batch",318.93592693284154,59.01276216970587,1055,NA,6407,NA,7
273,"74764","batch",324.51896423101425,60.20680830563621,1055,NA,6913,NA,7
274,"74765","batch",309.4896020106971,56.992473361010205,1055,NA,5616,NA,7
275,"74766","batch",312.20630751922727,57.57349611648825,1055,NA,5836,NA,7
276,"75511","batch",218.8425030084327,37.605746653600875,1220,NA,1230,NA,5
277,"76621","batch",277.4892846327275,50.14855431246392,720,NA,3482,NA,6
278,"76622","batch",264.5299839130603,47.376944143615106,720,NA,2824,NA,6
279,"77731","batch",324.2526985090226,60.14986196272374,1260,NA,6888,NA,7
280,"77732","batch",302.56392961367965,55.51127738779244,1260,NA,5086,NA,7
281,"77733","batch",315.83974339812994,58.35058031629726,1260,NA,6139,NA,7
282,"78711","batch",318.0400612540543,58.82116306424789,1290,NA,6328,NA,7
283,"79821","batch",337.43293702602386,62.96872417541507,1790,NA,8201,NA,8
284,"79822","batch",331.0661884061992,61.607065425539,1790,NA,7545,NA,8
285,"80581","batch",245.4646151715424,43.29942707537932,656.25,NA,2034,NA,5
286,"80582","batch",228.72058650967665,39.718375820330216,656.25,NA,1492,NA,5
287,"80583","batch",221.57949003879912,38.19110702523409,656.25,NA,1299,NA,5
288,"80584","batch",219.5001195948571,37.74639134250538,656.25,NA,1246,NA,5
289,"80585","batch",243.82956595276482,42.94973852818365,656.25,NA,1976,NA,5
290,"80586","batch",241.36264827218838,42.42213798266794,656.25,NA,1889,NA,5
291,"80587","batch",201.28301653754897,33.85029315227074,656.25,NA,852,NA,5
292,"80588","batch",225.73798222839832,39.0804852015025,656.25,NA,1409,NA,5
293,"81651","batch",272.2424161550589,49.026404719527235,1046,NA,3203,NA,6
294,"81652","batch",295.7921344868373,54.062991200063706,1046,NA,4606,NA,6
295,"81653","batch",290.7434848626144,52.98323474250924,1046,NA,4272,NA,6
296,"81654","batch",280.9809883015696,50.89532619503028,1046,NA,3678,NA,6
297,"81655","batch",256.7298915779684,45.70873567299204,1046,NA,2476,NA,6
298,"82651","batch",291.92877505836077,53.23673317044384,860,NA,4348,NA,6
299,"82652","batch",279.03577665798366,50.47930310176693,860,NA,3568,NA,6
300,"82653","batch",252.77033485658467,44.86190389475682,860,NA,2313,NA,6
301,"82654","batch",271.1620177780278,48.79533954147772,860,NA,3147,NA,6
302,"82655","batch",280.8627336646896,50.8700350345595,860,NA,3671,NA,6
303,"83641","batch",259.76411117520183,46.35766527746136,1085,NA,2607,NA,6
304,"83642","batch",253.8282711431384,45.088165097674704,1085,NA,2356,NA,6
305,"83643","batch",273.377953174524,49.269262418282345,1085,NA,3261,NA,6
306,"83644","batch",281.2557625884656,50.95409226768907,1085,NA,3694,NA,6
307,"84751","batch",305.8431843072176,56.21261273384716,1208,NA,5332,NA,7
308,"84752","batch",307.988559614867,56.67144489981845,1208,NA,5498,NA,7
309,"84753","batch",309.6067930534482,57.01753705023334,1208,NA,5626,NA,7
310,"84754","batch",315.90862190537155,58.36531138668567,1208,NA,6145,NA,7
311,"84755","batch",304.343135451898,55.89179676151122,1208,NA,5219,NA,7
312,"85751","batch",310.74877627007663,57.261773399426055,1216,NA,5717,NA,7
313,"85752","batch",320.81197430193424,59.41399307543896,1216,NA,6574,NA,7
314,"85753","batch",319.7755765337497,59.19233832296353,1216,NA,6481,NA,7
315,"85754","batch",321.3180797789246,59.522234030478124,1216,NA,6619,NA,7
316,"85755","batch",310.02128728479147,57.106185076185604,1216,NA,5659,NA,7
317,"86751","batch",311.21713742241263,57.36194196257531,1213,NA,5755,NA,7
318,"86752","batch",318.09495678544044,58.8329035907088,1213,NA,6333,NA,7
319,"86753","batch",310.1224495694041,57.12782068931022,1213,NA,5667,NA,7
320,"86754","batch",304.41260142438114,55.90665347329591,1213,NA,5224,NA,7
321,"86755","batch",314.19539102725685,57.998902100715306,1213,NA,6000,NA,7
322,"87751","batch",318.894324015826,59.003864539320695,1280,NA,6403,NA,7
323,"87752","batch",303.4359498284757,55.69777665554248,1280,NA,5151,NA,7
324,"87753","batch",311.46366110257804,57.4146660681107,1280,NA,5775,NA,7
325,"87754","batch",317.6375326253474,58.735074125908504,1280,NA,6293,NA,7
326,"87755","batch",319.0650091525167,59.04036902908883,1280,NA,6418,NA,7
327,"88861","batch",344.2707797512412,64.43113598606467,1608.3333333333333,NA,8954,NA,8
328,"88862","batch",349.06624998524785,65.45674487905175,1608.3333333333333,NA,9513,NA,8
329,"88863","batch",349.02161523886025,65.44719883026039,1608.3333333333333,NA,9508,NA,8
330,"88864","batch",347.32155329734087,65.08360598935678,1608.3333333333333,NA,9307,NA,8
331,"88865","batch",332.67008077166975,61.950090445641415,1608.3333333333333,NA,7706,NA,8
332,"88866","batch",340.17743596434593,63.55569112142506,1608.3333333333333,NA,8497,NA,8
333,"89521","batch",234.02434918936342,40.852693396113594,760,NA,1650,NA,5
334,"89522","batch",223.69675142737105,38.643926457518056,760,NA,1354,NA,5
335,"90681","batch",251.31903279293329,44.55151341577188,1025,NA,2256,NA,6
336,"90682","batch",253.08011546637863,44.92815678191408,1025,NA,2326,NA,6
337,"90683","batch",298.3578326983843,54.611717972221165,1025,NA,4784,NA,6
338,"90684","batch",259.09929233253933,46.21548023950099,1025,NA,2578,NA,6
339,"90685","batch",271.00660210242495,48.762100736682825,1025,NA,3139,NA,6
340,"90686","batch",275.21782811707817,49.662757114524275,1025,NA,3359,NA,6
341,"90687","batch",296.20834520761855,54.152006332211265,1025,NA,4635,NA,6
342,"90688","batch",259.48161636898294,46.29724801463984,1025,NA,2595,NA,6
343,"917141","batch",324.1716841571033,60.13253539499764,1289.2857142857142,NA,6880,NA,7
344,"917142","batch",317.5917927362025,58.72529171984986,1289.2857142857142,NA,6290,NA,7
345,"917143","batch",322.1813516560942,59.70686228820605,1289.2857142857142,NA,6697,NA,7
